 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 1 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 1 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 1 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 1 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 1 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 1 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 1 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
# Vibraphone melody - 2x
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 1 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 1 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 1 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 1 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 1 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 1  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 1
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 1 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 1 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 1 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 1 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 1 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 1 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 1 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 1 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
# Verse
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
#C3, D3, F3, G3, A3, A#3, C4, D4, E4, F4, G4, A4, A#4, C5
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 1 , 0 , 1 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 1 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 0 , 0 , 0 , 1 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
 1 , 0 , 0 , 0 , 0 , 0  , 0 , 0 , 0 , 0 , 0 , 0 , 0  , 0
